id,KD,Kill,Death,Assistant,WinRate,PickRate,AvgScore,FirstBloodRate,RankEncoded,HeadshotRate,Rank
6,0.8,10.8,13.5,4.3,50.5,1.2,174.0,0.1,10,61.994,gold_1
47,0.77,10.8,14.0,4.3,49.4,4.1,162.0,0.2,8,57.784,silver_2
183,1.06,13.6,12.8,3.9,50.7,7.3,227.0,0.1,12,61.989,gold_3
224,1.01,12.0,11.9,4.1,50.7,3.2,197.0,0.2,10,61.994,gold_1
266,0.94,11.9,12.7,6.0,50.5,3.5,195.0,0.1,10,61.994,gold_1
288,0.93,3.7,4.0,1.6,49.4,2.5,188.0,0.1,10,61.994,gold_1
291,0.96,3.9,4.1,1.2,49.2,5.3,191.0,0.1,10,61.994,gold_1
292,0.98,3.9,4.0,1.4,49.1,2.4,188.0,0.1,10,61.994,gold_1
310,0.98,4.2,4.3,1.2,49.5,7.0,208.0,0.1,10,61.994,gold_1
473,0.92,4.8,5.2,1.8,49.5,4.8,191.0,0.1,10,61.994,gold_1
484,1.04,5.4,5.3,1.3,50.7,3.1,213.0,0.1,12,61.989,gold_3
514,0.92,4.8,5.2,1.7,48.9,4.7,191.0,0.1,10,61.994,gold_1
588,0.96,4.8,5.0,1.5,50.2,4.0,196.0,0.2,10,61.994,gold_1
596,0.91,4.9,5.4,2.7,48.4,3.5,200.0,0.1,10,61.994,gold_1
648,0.97,14.7,15.1,6.1,41.6,3.7,308.0,0.1,16,72.558,diamond_1
671,1.0,15.2,15.3,4.4,38.6,3.5,349.0,0.1,18,77.2,diamond_3
706,0.94,13.6,14.5,4.4,41.9,6.8,276.0,0.1,15,75.409,platinum_3
710,0.96,14.0,14.5,3.6,39.4,5.2,330.0,0.1,16,72.558,diamond_1
789,0.98,15.6,15.8,3.3,44.5,3.8,338.0,0.1,17,74.823,diamond_2
791,1.01,15.9,15.8,4.5,44.3,3.9,334.0,0.1,16,72.558,diamond_1
849,0.9,13.0,14.5,6.2,47.0,4.1,210.0,0.2,11,66.234,gold_2
882,0.94,13.6,14.5,4.7,48.5,9.3,228.0,0.2,12,61.989,gold_3
888,0.93,14.2,15.3,5.4,44.4,4.1,263.0,0.1,15,75.409,platinum_3
925,0.89,12.4,13.9,6.0,48.1,2.6,196.0,0.2,10,61.994,gold_1
946,1.06,13.3,12.5,2.7,48.9,3.4,236.0,0.2,12,61.989,gold_3
973,0.88,13.2,15.1,4.0,43.1,3.8,278.0,0.1,15,75.409,platinum_3
1107,0.82,11.7,14.2,7.1,49.2,3.3,175.0,0.1,10,61.994,gold_1
1139,0.94,13.4,14.2,5.1,50.7,0.9,193.0,0.1,10,61.994,gold_1
1144,0.96,14.6,15.2,4.0,49.4,6.2,212.0,0.1,12,61.989,gold_3
1153,0.87,12.6,14.5,4.9,47.7,4.0,186.0,0.1,10,61.994,gold_1
1154,0.92,13.7,15.0,4.2,47.5,4.0,198.0,0.1,10,61.994,gold_1
1159,0.97,14.6,15.0,5.4,51.1,8.1,222.0,0.1,12,61.989,gold_3
1183,1.05,15.8,15.0,4.5,49.9,11.9,228.0,0.1,12,61.989,gold_3
1244,0.96,14.3,14.9,5.1,50.1,7.1,217.0,0.1,12,61.989,gold_3
1247,0.88,13.2,14.9,5.7,49.6,1.3,193.0,0.1,10,61.994,gold_1
1349,0.9,13.1,14.5,5.0,49.2,6.0,191.0,0.1,10,61.994,gold_1
1377,0.86,12.9,15.0,8.0,45.7,3.1,192.0,0.1,10,61.994,gold_1
1494,0.96,13.7,14.3,4.6,47.5,2.2,194.0,0.1,10,61.994,gold_1
1619,1.09,16.3,15.0,4.3,51.2,3.5,233.0,0.1,12,61.989,gold_3
1670,0.99,14.1,14.3,5.0,49.1,4.0,197.0,0.2,10,61.994,gold_1
1678,0.97,14.3,14.7,7.8,51.1,5.3,207.0,0.1,10,61.994,gold_1
1679,1.0,14.1,14.1,4.2,50.9,6.4,202.0,0.2,10,61.994,gold_1
1714,0.99,15.8,16.0,4.3,46.5,2.0,226.0,0.1,12,61.989,gold_3
1778,0.99,14.4,14.5,7.8,52.0,7.3,208.0,0.1,10,61.994,gold_1
1819,1.13,17.2,15.2,4.7,50.6,3.7,244.0,0.1,13,67.578,platinum_1
1831,0.94,14.2,15.0,7.5,48.5,3.5,202.0,0.1,10,61.994,gold_1
1878,1.14,17.5,15.3,4.6,52.0,4.1,247.0,0.1,13,67.578,platinum_1
1920,0.99,14.5,14.6,7.9,50.8,7.6,210.0,0.1,12,61.989,gold_3
1945,1.07,16.6,15.5,5.0,49.7,6.2,244.0,0.1,13,67.578,platinum_1
1969,1.11,17.5,15.7,3.9,49.1,9.7,245.0,0.1,13,67.578,platinum_1
2078,0.97,14.5,15.0,6.4,51.2,7.2,204.0,0.1,10,61.994,gold_1
2122,1.0,14.4,14.4,4.1,49.8,6.4,203.0,0.2,10,61.994,gold_1
2137,0.97,15.2,15.6,4.3,44.5,1.3,213.0,0.1,11,66.234,gold_2
2149,0.92,14.0,15.2,7.7,48.7,3.0,197.0,0.1,10,61.994,gold_1
2158,0.96,14.3,14.8,8.4,51.1,6.1,205.0,0.1,10,61.994,gold_1
2186,0.93,14.2,15.2,6.2,49.2,3.8,199.0,0.1,10,61.994,gold_1
2187,0.98,14.1,14.4,3.9,49.2,5.1,200.0,0.2,10,61.994,gold_1
2192,0.98,15.2,15.5,5.7,48.1,5.3,212.0,0.1,12,61.989,gold_3
2301,0.95,14.4,15.1,6.5,50.2,4.8,201.0,0.1,10,61.994,gold_1
2337,0.9,14.2,15.7,5.7,43.3,0.8,196.0,0.1,10,61.994,gold_1
2403,1.01,14.8,14.7,5.6,50.1,2.8,206.0,0.1,10,61.994,gold_1
2435,0.98,16.1,16.4,4.3,46.4,1.2,224.0,0.1,12,61.989,gold_3
2493,0.96,14.3,14.9,5.5,47.0,1.8,205.0,0.1,11,66.234,gold_2
2494,0.93,14.3,15.4,8.7,46.7,3.0,204.0,0.1,10,61.994,gold_1
2517,0.93,14.4,15.6,8.6,46.9,3.4,207.0,0.1,11,66.234,gold_2
2525,1.04,16.6,15.9,4.9,49.8,7.3,240.0,0.1,13,67.578,platinum_1
2544,1.13,17.8,15.7,4.6,50.4,11.5,246.0,0.1,13,67.578,platinum_1
2561,1.11,17.5,15.7,4.6,50.4,12.4,243.0,0.1,13,67.578,platinum_1
2601,1.0,14.9,14.8,5.6,50.2,12.1,205.0,0.2,10,61.994,gold_1
2632,1.07,16.1,15.0,3.1,48.1,3.2,218.0,0.1,12,61.989,gold_3
2639,0.92,13.7,14.9,7.2,51.3,9.2,190.0,0.1,10,61.994,gold_1
2648,1.07,17.1,15.9,3.9,49.5,10.5,237.0,0.1,12,61.989,gold_3
2671,1.0,14.7,14.7,4.8,48.6,5.1,200.0,0.1,10,61.994,gold_1
2730,0.94,14.6,15.6,6.9,48.6,2.5,202.0,0.1,10,61.994,gold_1
2751,0.97,15.3,15.7,6.0,47.9,3.9,210.0,0.1,11,66.234,gold_2
2783,0.96,14.6,15.2,6.6,50.8,9.8,202.0,0.1,10,61.994,gold_1
2796,0.9,13.8,15.4,6.3,46.7,1.6,190.0,0.1,10,61.994,gold_1
2802,1.06,16.9,16.0,4.9,50.6,7.4,243.0,0.1,13,67.578,platinum_1
2859,1.07,16.9,15.8,4.8,50.9,6.1,242.0,0.1,13,67.578,platinum_1
2861,0.98,14.7,15.1,9.1,50.3,5.6,207.0,0.1,10,61.994,gold_1
2879,1.03,14.8,14.3,3.6,51.0,4.6,205.0,0.2,10,61.994,gold_1
2884,1.1,17.2,15.6,4.3,49.8,1.9,238.0,0.1,13,67.578,platinum_1
2925,1.02,14.9,14.6,4.8,49.8,6.9,202.0,0.1,10,61.994,gold_1
2967,1.03,14.9,14.5,3.9,49.4,5.5,205.0,0.2,10,61.994,gold_1
2972,1.0,15.2,15.2,5.4,48.0,2.0,209.0,0.1,11,66.234,gold_2
2988,0.99,14.6,14.7,5.0,49.1,4.6,196.0,0.2,10,61.994,gold_1
2994,0.93,14.5,15.6,9.3,46.1,3.9,205.0,0.1,11,66.234,gold_2
3006,1.11,17.3,15.6,4.7,49.7,4.7,242.0,0.1,13,67.578,platinum_1
3085,1.0,14.8,14.8,5.9,50.0,5.8,205.0,0.2,10,61.994,gold_1
3086,1.13,17.8,15.8,4.5,49.8,11.7,245.0,0.1,13,67.578,platinum_1
3087,0.94,14.4,15.3,7.3,49.6,3.2,199.0,0.1,10,61.994,gold_1
3102,1.06,15.5,14.6,6.9,49.9,3.4,211.0,0.2,12,61.989,gold_3
3233,1.0,16.4,16.4,4.3,46.5,0.6,228.0,0.1,12,61.989,gold_3
3280,0.94,14.1,15.0,7.0,50.9,11.2,193.0,0.1,10,61.994,gold_1
3319,1.04,14.9,14.3,3.9,52.0,3.5,206.0,0.2,10,61.994,gold_1
3357,0.91,14.3,15.7,6.3,41.4,0.5,195.0,0.1,11,66.234,gold_2
3361,1.04,15.1,14.5,3.7,50.8,5.3,206.0,0.2,10,61.994,gold_1
3368,1.01,15.3,15.2,8.0,48.8,9.2,208.0,0.1,10,61.994,gold_1
3393,0.97,14.8,15.2,9.3,45.6,11.1,203.0,0.1,11,66.234,gold_2
3434,1.02,15.1,14.9,4.2,48.0,2.0,201.0,0.1,10,61.994,gold_1
3446,1.02,16.9,16.7,4.3,49.3,2.7,235.0,0.1,12,61.989,gold_3
3498,1.04,15.4,14.8,9.5,54.6,3.8,216.0,0.1,12,61.989,gold_3
3549,0.98,14.9,15.3,7.4,48.9,2.8,204.0,0.1,10,61.994,gold_1
